,Type,Contribution,SP500_Close,Shares_Bought,Cumulative_Shares,Cumulative_Invested,Cumulative_Value
2013-05-01,Fixed_DCA,475.0000,128.0328,3.7100,193.1063,19625.0000,24723.9347
2013-06-01,Fixed_DCA,475.0000,132.2147,3.5926,196.6989,20100.0000,26006.4977
2013-07-01,Fixed_DCA,475.0000,131.2148,3.6200,200.3190,20575.0000,26284.8138
2013-08-01,Fixed_DCA,475.0000,138.7774,3.4227,203.7417,21050.0000,28274.7412
2013-09-01,Fixed_DCA,475.0000,133.0770,3.5694,207.3111,21525.0000,27588.3271
2013-10-01,Fixed_DCA,475.0000,138.3752,3.4327,210.7438,22000.0000,29161.7062
2013-11-01,Fixed_DCA,475.0000,143.9891,3.2989,214.0426,22475.0000,30819.7956
2013-12-01,Fixed_DCA,475.0000,147.9031,3.2116,217.2542,22950.0000,32132.5718
2014-01-01,Fixed_DCA,475.0000,151.7377,3.1304,220.3846,23425.0000,33440.6602
2014-02-01,Fixed_DCA,475.0000,146.3892,3.2448,223.6294,23900.0000,32736.9241
2014-03-01,Fixed_DCA,475.0000,153.0523,3.1035,226.7329,24375.0000,34701.9824
2014-04-01,Fixed_DCA,475.0000,155.3451,3.0577,229.7906,24850.0000,35696.8495
2014-05-01,Fixed_DCA,475.0000,155.4112,3.0564,232.8470,25325.0000,36187.0249
2014-06-01,Fixed_DCA,475.0000,159.0008,2.9874,235.8344,25800.0000,37497.8559
2014-07-01,Fixed_DCA,475.0000,163.3695,2.9075,238.7419,26275.0000,39003.1416
2014-07-31,Extra_Purple,250.0000,160.1027,1.5615,240.3034,26525.0000,38473.2195
2014-08-01,Fixed_DCA,475.0000,159.6135,2.9759,243.2794,27000.0000,38830.6602
2014-09-01,Fixed_DCA,475.0000,166.4209,2.8542,246.1336,27475.0000,40961.7647
2014-10-01,Fixed_DCA,475.0000,161.9007,2.9339,249.0675,27950.0000,40324.2024
2014-11-01,Fixed_DCA,475.0000,167.9902,2.8275,251.8950,28425.0000,42315.8968
2014-12-01,Fixed_DCA,475.0000,171.4056,2.7712,254.6662,28900.0000,43651.2204
2014-12-16,Extra_Extreme_Dip,300.0000,164.8663,1.8197,256.4859,29200.0000,42285.8799
2015-01-01,Fixed_DCA,475.0000,172.1674,2.7589,259.2448,29675.0000,44633.4937
2015-02-01,Fixed_DCA,475.0000,167.0662,2.8432,262.0880,30150.0000,43786.0390
2015-03-01,Fixed_DCA,475.0000,176.4561,2.6919,264.7799,30625.0000,46722.0131
2015-04-01,Fixed_DCA,475.0000,173.0704,2.7445,267.5244,31100.0000,46300.5730
2015-05-01,Fixed_DCA,475.0000,177.2942,2.6792,270.2036,31575.0000,47905.5388
2015-06-01,Fixed_DCA,475.0000,178.0094,2.6684,272.8720,32050.0000,48573.7787
2015-07-01,Fixed_DCA,475.0000,175.4342,2.7076,275.5796,32525.0000,48346.0801
2015-08-01,Fixed_DCA,475.0000,177.9706,2.6690,278.2485,33000.0000,49520.0579
2015-08-21,Extra_Extreme_Dip+Extra_Pullback,475.0000,167.2585,2.8399,281.0885,33475.0000,47014.4410
2015-08-22,Extra_Extreme_Dip+Extra_Pullback,475.0000,167.2585,2.8399,283.9284,33950.0000,47489.4410
2015-08-23,Extra_Extreme_Dip+Extra_Pullback,475.0000,167.2585,2.8399,286.7683,34425.0000,47964.4410
2015-08-24,Extra_Pullback,175.0000,160.2159,1.0923,287.8606,34600.0000,46119.8241
2015-09-01,Fixed_DCA,475.0000,162.1350,2.9297,290.7902,35075.0000,47147.2699
2015-10-01,Fixed_DCA,475.0000,163.2839,2.9090,293.6993,35550.0000,47956.3618
2015-11-01,Fixed_DCA,475.0000,176.7117,2.6880,296.3873,36025.0000,52375.0999
2015-12-01,Fixed_DCA,475.0000,179.0488,2.6529,299.0402,36500.0000,53542.7857
2016-01-01,Fixed_DCA,475.0000,174.2924,2.7253,301.7655,36975.0000,52595.4330
2016-01-07,Extra_Pullback,175.0000,165.8971,1.0549,302.8203,37150.0000,50237.0140
2016-01-08,Extra_Extreme_Dip+Extra_Pullback,475.0000,164.0761,2.8950,305.7153,37625.0000,50160.5876
2016-01-09,Extra_Extreme_Dip+Extra_Pullback,475.0000,164.0761,2.8950,308.6103,38100.0000,50635.5876
2016-01-10,Extra_Extreme_Dip+Extra_Pullback,475.0000,164.0761,2.8950,311.5053,38575.0000,51110.5876
2016-02-01,Fixed_DCA,475.0000,165.5551,2.8691,314.3745,39050.0000,52046.3052
2016-03-01,Fixed_DCA,475.0000,169.3681,2.8045,317.1790,39525.0000,53720.0066
